"Year","EEZ","EZnm","EEZ.alt","Partgrp","Grp","Flag","Days","ALBc","BETc","YFTc"
2000,"KI","Kiribati","KI","Kiribati","FFA","KR",11905.413,224.479,6089.316,3447.683
2000,"KI","Kiribati","KI","Kiribati","FFA","TW",277,1.504,37.233,28.004
2000,"KI","Kiribati","KI","Kiribati","FFA","US",28.07,0,5.872236,10.696636
2000,"MH","Marshall Islands","MH","Marshall Islands","FFA","FM",53.79,0,12.231446,2.963496
2000,"MH","Marshall Islands","MH","Marshall Islands","FFA","JP",1909.327,53.797938,822.551066,1144.524995
2000,"MH","Marshall Islands","MH","Marshall Islands","FFA","TW",63,0,5.987,10.215
2000,"NC","New Caledonia","MA","New Caledonia","French","FJ",1.515,1.813496,0.049471,0
2000,"NC","New Caledonia","MA","New Caledonia","French","NC",20.496,1.974513,4.175225,0.70893
2000,"NC","New Caledonia","NC","New Caledonia","French","NC",2986.18,892.348849,511.852593,249.108378
2000,"NR","Nauru","NR","Nauru","FFA","NR",13.75,2,1,8
2000,"NZ","New Zealand","NZ","New Zealand","FFA","NZ",7751.919,1334.385911,409.889406,94.486382
2000,"PF","French Polynesia","PF","French Polynesia","French","KR",1785.313,26.347,908.888,350.645
2000,"PF","French Polynesia","PF","French Polynesia","French","PF",6046.482,3434.746155,706.018698,1189.256408
2000,"PG","PNG","PG","PNG","FFA","PG",3966.511,158.827371,186.919277,842.688627
2000,"PH","Philippines","PH","Philippines","Other","PH",678.75,0,59,484
2000,"PH","Philippines","PH","Philippines","Other","TW",1744.833,0,418.4,1675.4
2000,"PW","Palau","PW","Palau","FFA","CN",7781,8.574,828.205,266.619
2000,"PW","Palau","PW","Palau","FFA","JP",2.193,0,0.189974,0.060926
2000,"PW","Palau","PW","Palau","FFA","PW",162.755,0,24.717463,44.254642
2000,"PW","Palau","PW","Palau","FFA","TW",2145,0.422,395.774,430.762
2000,"PY","Palmyra","US","US Zones","US Zones","US",756.068,0.416637,170.415978,480.135369
2000,"SB","Solomon Islands","SB","Solomon Islands","FFA","FJ",9.861,9.635587,2.443872,5.735143
2000,"SB","Solomon Islands","SB","Solomon Islands","FFA","JP",138.177,84.888946,22.787915,121.053975
2000,"SB","Solomon Islands","SB","Solomon Islands","FFA","PG",60.656,0.172629,0.080722,1.311373
2000,"SB","Solomon Islands","SB","Solomon Islands","FFA","SB",977.162,220.848837,352.193656,531.192218
2000,"SB","Solomon Islands","SB","Solomon Islands","FFA","TW",297,87.152,97.493,142.692
2000,"SB","Solomon Islands","SB","Solomon Islands","FFA","VU",1.047,2.724318,0.016934,0
2000,"TO","Tonga","TO","Tonga","FFA","TO",1969.471,859.135307,119.517292,174.735447
2000,"TV","Tuvalu","TV","Tuvalu","FFA","JP",470.459,40.947044,92.814966,254.414937
2000,"TV","Tuvalu","TV","Tuvalu","FFA","KR",447.077,55.388,137.07,212.057
2000,"TV","Tuvalu","TV","Tuvalu","FFA","TW",313,146.645,84.992,201.55
2000,"TW","Taiwan","TW","Taiwan","Other","TW",4815,543.5,1046,4188.5
2000,"VN","Vietnam","VN","Vietnam","Other","VN",11581.25,10,2479,6776
2000,"VU","Vanuatu","VU","Vanuatu","FFA","BZ",49,100.847,2.957,25.137
2000,"VU","Vanuatu","VU","Vanuatu","FFA","FJ",897.6,826.625354,58.410512,242.311102
2000,"VU","Vanuatu","VU","Vanuatu","FFA","TW",1833,1905.696,41.378,302.02
2000,"VU","Vanuatu","VU","Vanuatu","FFA","VU",204.087,281.468644,8.608926,39.247022
2000,"WS","Samoa","WS","Samoa","FFA","WS",34217.806,4067,177,1120
2001,"AS","American Samoa","AS","American Samoa","US Zones","US",4945.799,3217.464918,74.832428,187.14613
2001,"AU","Australia","AU","Australia","FFA","AU",13764.875,581.864162,1294.761187,2796.559378
2001,"CK","Cook Islands","CK","Cook Islands","FFA","CK",21.544,2,1,1
2001,"CK","Cook Islands","CK","Cook Islands","FFA","US",9.286,7.253236,0.167573,0.80495
2001,"CN","China","CN","Other","Other","JP",12.24,5.764017,0.385,2.630993
2001,"FJ","Fiji","FJ","Fiji","FFA","FJ",11813.242,7291.640677,612.515089,1910.935281
2001,"FJ","Fiji","FJ","Fiji","FFA","KR",1.986,0.015,0.205,0.09
2001,"FJ","Fiji","FJ","Fiji","FFA","TW",840,544.909,45.611,122.159
2001,"FJ","Fiji","FJ","Fiji","FFA","VU",191.345,176.53786,19.282445,44.406384
2001,"FM","FSM","FM","FSM","FFA","BZ",115,0,25.66,8.26
2001,"FM","FSM","FM","FSM","FFA","CN",6410.63,3.317,940.345,499.771
2001,"FM","FSM","FM","FSM","FFA","FM",3222.948,3,620.709146,315.382169
2001,"FM","FSM","FM","FSM","FFA","JP",3648.415,17.147067,1352.819921,776.140949
2001,"FM","FSM","FM","FSM","FFA","TW",4739,21.84,627.737,493.793
2001,"H4","HS4","HS","High Seas","High Seas","KR",292.937,21.354,146.975,78.619
2001,"H4","HS4","HS","High Seas","High Seas","TW",1,0,0,0.05
2001,"H5","HS5","HS","High Seas","High Seas","CN",16.452,24.551,0,0
2001,"H5","HS5","HS","High Seas","High Seas","JP",8.857,1.129923,1.359561,3.842098
2001,"H5","HS5","HS","High Seas","High Seas","KR",416.07,65.04,201.472,158.272
2001,"H5","HS5","HS","High Seas","High Seas","TW",52,0,1.44,2.27
2001,"H5","HS5","HS","High Seas","High Seas","US",6.356,8.176968,0,0
2001,"HW","Hawaii","US","US Zones","US Zones","US",3711.566,260.502365,1085.748398,186.309152
2001,"I1","Int1","HS","High Seas","High Seas","BZ",32,0,1.905,2.3
2001,"I1","Int1","HS","High Seas","High Seas","CN",34.84,0,2.485,2.91
2001,"I1","Int1","HS","High Seas","High Seas","FM",25.786,0,3.994614,7.215029
2001,"I1","Int1","HS","High Seas","High Seas","JP",7825.562,47.003906,3203.109964,2781.534999
2001,"I1","Int1","HS","High Seas","High Seas","PG",8.551,0,1.569293,0.329802
2001,"I1","Int1","HS","High Seas","High Seas","TW",25526.218,0.12,3411.001342,4012.29015
